"Date","Time","Lat","Lon","Depth","Mag","Lag"
"1969/04/14","04:22:36.21",37.874,-122.226,11.41,3,NA
"1971/05/10","00:52:01.51",37.8863,-122.2432,9.51,3.15,755.853765046296
"1971/05/13","01:39:13.28",37.8708,-122.233,13.29,3.18,3.03277511574078
"1971/09/17","18:43:33.75",37.8692,-122.2345,11.36,3.05,127.711348032407
"1971/09/17","21:34:35.44",37.866,-122.2332,10.78,3.06,0.118769560185115
"1973/10/04","12:24:10.09",37.8643,-122.2335,9.85,3.1,747.617762152778
"1973/10/07","16:01:23.95",37.9187,-122.2875,5.77,3.2,3.15085486111093
"1974/12/29","09:51:45.86",37.9265,-122.2928,6.32,3.5,447.743309143519
"1975/04/18","01:41:32.78",37.9323,-122.2848,9.18,3.3,109.659570833333
"1975/10/04","01:23:48.19",37.8788,-122.2397,10.51,3.5,168.987678356481
"1975/12/07","18:59:09.82",37.9703,-122.3395,6.86,3,64.7328892361111
"1976/08/07","04:15:35.62",37.9732,-122.3332,7.07,3.06,243.386409722222
"1977/01/08","07:17:33.28",37.9193,-122.1605,11.59,3,154.126361805556
"1977/01/08","08:58:13.05",37.9207,-122.1578,14.02,4,0.0699047453704225
"1977/01/08","09:38:06.76",37.9262,-122.1607,12.2,4.3,0.0277049768515099
"1977/01/08","09:39:40.35",37.9225,-122.1732,11,3.8,0.00108321759262253
"1977/01/08","09:41:02.06",37.9293,-122.163,10.47,3.29,0.000945717592458095
"1977/01/08","09:43:58.03",37.9338,-122.1583,11.4,3.33,0.00203668981521332
"1977/01/08","09:51:54.77",37.928,-122.163,10.62,3,0.00551782407410428
"1977/01/09","05:34:15.91",37.9033,-122.1508,13.45,3.2,0.821078009259054
"1977/01/10","05:08:07.53",37.9173,-122.2845,5.66,3,0.981847453703722
"1977/01/23","17:45:50.13",37.8808,-122.229,10.4,3.31,13.5261875000001
"1977/01/24","15:55:46.07",37.8788,-122.2268,10.16,3.23,0.923564120370429
"1979/08/13","19:18:46.52",37.8688,-122.1622,5.06,3.2,931.140977430555
"1979/08/17","15:43:03.12",37.867,-122.2297,10.54,3.17,3.8501921296297
"1979/08/24","04:46:51.15",37.8595,-122.2245,10.3,3.06,6.54430590277798
"1980/04/07","05:17:30.42",37.8557,-122.2303,7.17,3.5,227.021287847222
"1980/11/02","23:39:24.49",37.8515,-122.2278,6.69,3,209.765209143518
"1982/01/19","07:13:08.48",37.8658,-122.2357,5.95,3,442.315092476852
"1982/03/26","13:24:00.06",37.813,-122.1905,4.81,3,66.2575414351859
"1982/03/28","13:50:30.67",37.8142,-122.1963,4.22,3.13,2.01840983796228
"1985/08/13","16:45:14.67",37.8473,-122.2262,5.72,3.1,1234.12134259259
"1986/03/29","16:24:03.71",37.878,-122.2038,11.86,4.1,227.985289814816
"1987/05/11","06:45:47.08",37.8092,-122.187,4.64,4,407.598418634259
"1987/08/28","05:16:33.34",37.9358,-122.2872,8.48,3.4,108.938035416666
"1987/09/19","19:59:25.32",37.8708,-122.2318,11.5,3,22.6131016203708
"1987/10/08","16:20:23.16",37.8577,-122.2355,6.76,3,18.8478916666663
"1987/10/30","23:10:42.41",37.9142,-122.2828,5.62,3.2,22.2849450231479
"1989/11/04","07:16:04.58",37.7765,-122.157,10,3.6,735.337062152778
"1990/08/25","11:47:29.94",37.8675,-122.2443,6.83,3.3,294.188487962962
"1991/12/17","18:13:40.21",37.9217,-122.2935,5.37,3,479.268174421297
"1993/01/15","11:13:49.16",37.9128,-122.2817,6.18,3.09,394.708436921296
"1994/06/26","08:30:35.42",37.9168,-122.2858,5.77,3.27,526.886646527777
"1994/06/26","08:42:50.31",37.9152,-122.2852,6.3,4,0.00850567129782576
"1995/03/15","08:22:58.89",37.9237,-122.2928,5.95,3.19,261.986210416666
"1995/12/01","23:11:29.01",37.9292,-122.2863,8.85,3.5,261.617015277778
"1998/12/04","12:16:07.77",37.9198,-122.2887,6.53,3.9,1098.54489305556
"2001/02/02","03:41:27.63",37.7842,-122.1673,12.24,3.49,790.642590972222
"2003/09/05","01:39:53.68",37.8432,-122.2225,11.14,4,944.915579282408
"2003/09/05","01:40:35.94",37.8363,-122.2282,8.25,3,0.000489120369820739
"2003/09/05","02:43:46.08",37.8392,-122.22,10.59,3.03,0.0438673611115519
"2003/10/19","15:32:52.18",37.9063,-122.146,8.13,3.5,44.5340983796286
"2003/10/20","17:50:09.09",37.9115,-122.1497,7.87,3.41,1.09533460648163
"2003/12/18","00:22:42.87",37.796,-122.2183,9.28,3.1,58.2726131944455
"2005/05/08","10:35:55.30",37.8357,-122.2262,5.04,3.39,507.425838310184
"2005/09/24","11:25:16.80",37.8302,-122.221,5.47,3.22,139.03427662037
"2005/12/16","18:21:33.63",38.0043,-122.2505,6.12,3.37,83.2890836805564
"2006/03/01","19:34:52.09",37.8577,-122.21,8.48,3.36,75.0509081018517
"2006/12/21","03:12:28.76",37.8572,-122.2447,8.84,3.6,294.317785532407
"2006/12/23","06:49:57.28",37.8577,-122.2452,9.35,3.6,2.1510245370373
"2006/12/23","17:21:15.11",37.8593,-122.2487,9.49,3.4,0.438400810186067
"2007/02/23","23:46:15.06",37.8645,-122.241,11.08,3.41,62.2673605324071
"2007/03/02","04:40:00.75",37.8965,-122.1113,16.22,4.2,6.20400104166583
"2007/07/20","11:42:22.36",37.804,-122.193,5.33,4.2,140.293305671297
"2007/08/15","07:13:10.09",37.8035,-122.193,5.69,3.2,25.8130524305561
"2007/08/28","23:05:35.51",37.8572,-122.2472,7.59,3.04,13.6614053240737
"2008/10/10","23:19:10.91",37.8365,-122.2153,12.65,3.05,409.009437499999
